eps_pi,eps_y,pi,y,Epi_lead,y_lag,path_number
0,0,35.94300472,-11.56160971,0,-10.6607712,4
0,0,38.44324759,-12.52805714,0,-11.56160971,4
0,0,41.12594783,-13.56490948,0,-12.52805714,4
0,0,44.00441401,-14.67731191,0,-13.56490948,4
0,0,47.0929259,-15.87078431,0,-14.67731191,4
0,0,50.40680538,-17.15124867,0,-15.87078431,4
0,0,53.96249244,-18.52505845,0,-17.15124867,4
0,0,57.7776267,-19.99903013,0,-18.52505845,4
0,0,61.87113495,-21.58047703,0,-19.99903013,4
0,0,66.26332506,-23.27724559,0,-21.58047703,4
0,0,70.97598667,-25.09775431,0,-23.27724559,4
0,0,76.03249935,-27.0510355,0,-25.09775431,4
0,0,81.45794856,-29.14678014,0,-27.0510355,4
